Series Name,Series Code,Time,Time Code,Algeria [DZA],Cyprus [CYP],France [FRA],Greece [GRC],Italy [ITA],Lebanon [LBN],Portugal [PRT],Spain [ESP],Turkiye [TUR]
Forest area (sq. km),AG.LND.FRST.K2,2000,YR2000,15790,1716.1,152880,36002.296,83692.5,1381.8,32810,170939.3,201483.5
Forest area (sq. km),AG.LND.FRST.K2,2001,YR2001,16129,1717.33,154011,36303.869,84351.29,1380.97,32781,172390.71,202418.23
Forest area (sq. km),AG.LND.FRST.K2,2002,YR2002,16468,1718.56,155142,36605.443,85010.08,1380.14,32752,173842.12,203352.96
Forest area (sq. km),AG.LND.FRST.K2,2003,YR2003,16807,1719.79,156273,36907.016,85668.87,1379.31,32723,175293.53,204287.69
Forest area (sq. km),AG.LND.FRST.K2,2004,YR2004,17146,1721.02,157404,37208.59,86327.66,1378.48,32694,176744.94,205222.42
Forest area (sq. km),AG.LND.FRST.K2,2005,YR2005,17485,1722.25,158535,37510.163,86986.45,1377.65,32665,178196.35,206157.15
Forest area (sq. km),AG.LND.FRST.K2,2006,YR2006,17824,1723.48,159666,37811.736,87645.24,1376.82,32636,179647.76,207091.88
Forest area (sq. km),AG.LND.FRST.K2,2007,YR2007,18163,1724.71,160797,38113.31,88304.03,1375.99,32607,181099.17,208026.61
Forest area (sq. km),AG.LND.FRST.K2,2008,YR2008,18502,1725.94,161928,38414.883,88962.82,1375.16,32578,182550.58,208961.34
Forest area (sq. km),AG.LND.FRST.K2,2009,YR2009,18841,1727.17,163059,38716.457,89621.61,1374.33,32549,184001.99,209896.07
Forest area (sq. km),AG.LND.FRST.K2,2010,YR2010,19180,1728.4,164190,39018.03,90280.4,1373.5,32520,185453.4,210830.8
Forest area (sq. km),AG.LND.FRST.K2,2011,YR2011,19256,1728.14,165024,39018.03,90818.48,1379.46,32640,185465.08,211925.24
Forest area (sq. km),AG.LND.FRST.K2,2012,YR2012,19332,1727.88,165858,39018.03,91356.56,1385.42,32760,185476.76,213019.68
Forest area (sq. km),AG.LND.FRST.K2,2013,YR2013,19408,1727.62,166692,39018.03,91894.64,1391.38,32880,185488.44,214114.12
Forest area (sq. km),AG.LND.FRST.K2,2014,YR2014,19484,1727.36,167526,39018.03,92432.72,1397.34,33000,185500.12,215208.56
Forest area (sq. km),AG.LND.FRST.K2,2015,YR2015,19560,1727.1,168360,39018.03,92970.8,1403.3,33120,185511.8,216303
Forest area (sq. km),AG.LND.FRST.K2,2016,YR2016,19560,1726.1,169194,39018,93508.9,1409.3,33120,185552.4,216303
Forest area (sq. km),AG.LND.FRST.K2,2017,YR2017,19430,1725.9,170028,39018,94047,1415.3,33120,185593,217524.6
Forest area (sq. km),AG.LND.FRST.K2,2018,YR2018,19300,1725.7,170862,39018,94585.1,1421.3,33120,185635.9,219083.6
Forest area (sq. km),AG.LND.FRST.K2,2019,YR2019,19390,1725.5,171696,39018,95123.2,1427.3,33120,185678.8,220643.6
Forest area (sq. km),AG.LND.FRST.K2,2020,YR2020,19490,1725.3,172530,39018,95661.3,1433.3,33120,185721.7,222203.6
Forest area (sq. km),AG.LND.FRST.K2,2021,YR2021,19580,1725.1,173364,39018,96199.4,1439.3,33120,185764.6,223763.6
Forest area (sq. km),AG.LND.FRST.K2,2022,YR2022,19680,1724.9,174198,39018,96737.5,1445.3,33120,185807.5,225323.6
Forest area (sq. km),AG.LND.FRST.K2,2023,YR2023,19775.926,1724.7,175032,39018,97275.6,1451.3,33120,185850.4,226883.6
Forest area (sq. km),AG.LND.FRST.K2,2024,YR2024,..,..,..,..,..,..,..,..,..
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,
Last Updated: 12/19/2025,,,,,,,,,,,,
